ID,SPECIMENID,CBL,CH,CBW,ADM,PDM,Original_Taxon,Clade,Clade1,Clade2,Combined_clade,Higher_level_taxonomy,Data_Source,Reference,Period,Lower_Stage,Upper_Stage,Group,Formation,Member,Max_ma,Min_ma,Mid_ma,Lat,Long,P_lat,P_Lon,Locality
131,GCM_38-10,1.75,2.8,0.83,0,8.695652174,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
132,GCM_6-38,2.45,5.65,1.71,0,0,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
134,GCM_G91702,2.31,4.96,1.14,0,10.63829787,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
137,GCM_G91706,2.77,3.94,1.13,0,9.090909091,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
138,GCM_G91705,2.16,4.12,1.54,0,10.52631579,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
139,GCM_TEMP3061,6.56,12.7,3.63,5.74,4.347826087,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
140,GCM_8-23,2.29,2.87,0.98,6.38,4.86,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
141,GCM_14-22,3.1,3.5,1.62,7.25,6.756756757,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
142,GCM_167-32,2.54,3.45,1.74,6.11,6.134969325,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
146,GCM_G72603,3.95,7.73,2.46,0,0,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
149,GCM 7.219-3,4.75,6.44,2.36,5.71,4.694835681,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
