ID,Register,Model,Class,MDACV1,MDACV2,MDACV3,MDACV4,MDACV5,MDACV6
K14,NHMUK PV R 37924,MDA,Dromaeosaur A,1.5752531,-6.2406291,-24.8316984,-7.29612507,-0.123933228,5.66E-08
K15,NHMUK PV R 37925,MDA,Dromaeosaur A,3.0048125,-6.1125414,-26.2414166,-8.26855582,-0.478044935,8.84E-08
K16,NHMUK PV R 37926,MDA,Dromaeosaur A,2.3434652,-5.6489223,-26.0587768,-6.38510968,-1.241127227,7.89E-08
K170,NHMUK PV R 37927,MDA,Dromaeosaur A,-0.585861,-5.7275877,-22.1504392,-7.36947784,-0.280004646,5.72E-08
W2M1 (Sudders theropod),NHMUK PV R 37928,MDA,Dromaeosaur A,-1.8979951,-3.6791524,-20.8135185,-8.56236152,0.243058116,5.32E-08
WD119,NHMUK PV R 37929,MDA,Dromaeosaur A,2.1528929,-4.1334067,-26.2213564,-8.83383367,1.917018295,7.73E-08
WD21,NHMUK PV R 37930,MDA,Dromaeosaur B,13.3517629,-5.830531,0.6727163,0.32035657,0.563230647,1.25E-08
WD23,NHMUK PV R 37931,MDA,Dromaeosaur B,8.7109946,-3.0016039,-0.0225256,5.18636898,2.440382248,-6.69E-10
WD24,NHMUK PV R 37933,MDA,Dromaeosaur B,9.1717772,-6.0291444,-2.2697142,1.65261779,0.038535706,1.97E-08
WD25,NHMUK PV R 37934,MDA,Dromaeosaur B,10.2223391,-0.7135295,-4.3318919,3.93652747,2.608881687,4.98E-09
WD29,NHMUK PV R 37935,MDA,Dromaeosaur A,-1.0095471,-6.7050126,-21.0994348,-6.86969498,-1.685598863,6.82E-08
WD43,NHMUK PV R 37936,MDA,Dromaeosaur B,8.8274181,-3.0011302,4.2056588,0.20534629,1.276044422,-2.08E-09
WD62,NHMUK PV R 37937,MDA,Dromaeosaur B,13.6371732,-5.1562842,-4.0961551,1.22564156,-1.284851696,2.92E-08
WD64,NHMUK PV R 37938,MDA,Troodontidae,4.7211884,-7.7836462,-0.3041163,3.63815504,0.988482649,1.71E-08
WD65,NHMUK PV R 37939,MDA,Dromaeosaur A,-6.8158128,-8.5712361,-14.444401,-3.52872422,-1.200289569,4.01E-08
WD66,NHMUK PV R 37940,MDA,Dromaeosaur A,-4.4174973,-7.6953127,-17.4203838,-4.51290776,-1.249634526,6.57E-08
WD67,NHMUK PV R 37941,MDA,Dromaeosaur A,-3.7083311,-7.8719779,-18.8247529,-4.40164394,0.625038572,6.23E-08
WD69,NHMUK PV R 37942,MDA,Dromaeosaur A,-7.0465087,-7.2775315,-14.0797286,-5.56335452,-0.119863623,3.32E-08
WD70,NHMUK PV R 37943,MDA,Troodontidae,3.7276043,-7.9542853,2.5553967,2.62524805,1.676419699,6.95E-09
WD71,NHMUK PV R 37944,MDA,Dromaeosaur A,-8.3340029,-6.4281049,-12.7899575,-4.76851468,-0.918976915,5.23E-08
WD73,NHMUK PV R 37945,MDA,Dromaeosaur A,-6.034368,-6.7191638,-16.540319,-3.48545377,0.54578363,5.59E-08
WD74,NHMUK PV R 37946,MDA,Dromaeosaur A,-6.808532,-6.9421026,-15.5827371,-4.2423496,2.025164216,3.72E-08
WD75,NHMUK PV R 37947,MDA,Dromaeosaur A,-8.422812,-5.6003925,-14.2362882,-2.92994037,1.242779625,3.00E-08
WD76,NHMUK PV R 37948,MDA,Troodontidae,0.6182951,-5.0342351,1.9340227,3.35597769,0.953505577,7.75E-09
WD77,NHMUK PV R 37949,MDA,Dromaeosaur A,-6.8959531,-8.0284577,-15.4738902,-2.48602906,0.85170636,4.46E-08
WD79,NHMUK PV R 37950,MDA,Dromaeosaur A,-5.8212647,-7.6356762,-15.4309193,-4.51928836,-1.996294174,6.04E-08
WD80,NHMUK PV R 37951,MDA,Dromaeosaur B,8.0885429,-4.8277175,-4.4417514,0.76700048,-0.620418062,2.75E-08
WD93,NHMUK PV R 37952,MDA,Troodontidae,5.0396427,-7.912043,-0.6412205,2.56466972,0.969872605,1.55E-08
WD95,NHMUK PV R 37953,MDA,Dromaeosaur A,-4.3951494,-8.0508399,-17.66295,-4.61807887,0.116170395,5.72E-08
GCM_H5,NHMUK PV R XX_H5,MDA,Dromaeosaur B,12.4434706,-3.2176755,-0.9403898,1.42866342,1.64186934,5.59E-09
