ID,SPECIMENID,CBL,CH,CBW,ADM,PDM,MDL,DDL,AL,Age,Original_Taxon,Clade,Clade2,Combined_clade,Tooth_position,Data_Source,Reference,Period,Lower_Stage,Upper_Stage,Group,Formation,Member,Max_ma,Min_ma,Mid_ma,Lat,Long,P_Lat_PBDB,P_long_PBDB,P_Lat_Gplates,P_Long_Gplates,P_lat,P_Lon,Locality,Notes
74,JR29,2.05,5.2,1.21,14.89,7.777777778,0.07,0.128571429,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
75,JR3,2.23,4.85,1.42,NA,4.073319756,NA,0.2455,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
76,JR30,4.09,8.77,1.86,9.09,6.711409396,0.11,0.149,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
77,JR31,3.08,4.82,1.54,9.09,6.52173913,0.11,0.153333333,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
78,JR32,0.98,2.2,0.71,NA,9.756097561,NA,0.1025,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
79,JR34,1.53,3.12,0.9,0,0,0,0,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
80,JR35,1.95,3.27,1.07,9.09,7.079646018,0.11,0.14125,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
81,JR37,0.61,0.87,0.35,18.75,17.4,0.05,0.057471264,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
82,JR38,1.77,4.74,1.03,8.33,7.368421053,0.12,0.135714286,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
83,JR39,2,NA,1.15,NA,9.210526316,NA,0.108571429,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
84,JR4,8.9,19,3.9,6.44,4.849421189,0.16,0.206210177,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
85,JR40,1.31,1.78,0.65,16.67,11.42857143,0.06,0.0875,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
86,JR41,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
87,JR42,NA,4.24,0.81,8.89,6.666666667,0.11,0.15,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
88,JR5,5.7,NA,2.47,5.52,4.117647059,0.18,0.242857143,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
89,JR7,2.18,3.08,0.74,NA,10.22727273,NA,0.097777778,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
90,JR8,1.65,NA,1.36,9.09,6.060606061,0.11,0.165,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
91,JR9,5.03,NA,2.28,NA,7.692307692,NA,0.13,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
92,K14,0.97,2.04,0.57,0,12.5,0,0.08,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
93,K15,0.91,1.8,0.48,0,15.09433962,0,0.06625,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
94,K16,0.85,1.5,0.65,0,13.51351351,0,0.074,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
95,K170,1.53,2.86,0.83,0,9.722222222,0,0.102857143,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
96,K254,1.49,3.56,1.15,NA,8.695652174,NA,0.115,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
97,GCM_10-2,1.89,3.07,0.91,NA,10.30927835,NA,0.097,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
98,GCM_10-37,2.93,4.86,1.55,13.64,8.333333333,0.07,0.12,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
99,GCM_100-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
100,GCM_100-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
101,GCM_100-14,2.44,3.79,1.2,0,8.620689655,0,0.116,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
102,GCM_100-21,1.6,2.16,0.9,0,8.928571429,0,0.112,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
103,GCM_100-64,2.13,3.07,0.91,8.82,7.619047619,0.11,0.13125,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
104,GCM_100-9,1.91,3.64,1.06,0,7.462686567,0,0.134,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
105,GCM_12-28,2.9,5.45,1.59,8.51,6.956521739,0.12,0.14375,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
106,GCM_120-19,0.97,2.16,0.74,0,0,0,0,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
107,GCM_14-27,1.61,2.36,0.91,0,8.571428571,0,0.116666667,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
108,GCM_140-7,3.42,7.79,2.26,0,6.363636364,0,0.157142857,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
109,GCM_167-24,5.37,10.6,2.65,8.33,4.926108374,0.12,0.203,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
110,GCM_21-22,1.88,2.51,0.94,0,8.75,0,0.114285714,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
111,GCM_68-1,1.48,1.75,0.69,10.34,8.064516129,0.1,0.124,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
112,GCM_G10022,7.25,16.53,4.02,5.56,4.385964912,0.18,0.228,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
113,GCM_G10117,26.05,51.63,13.07,1.68,2.492211838,0.6,0.40125,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
114,GCM_G10165,19.09,28.63,10.19,1.89,2.69541779,0.53,0.371,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
115,GCM_G10166,15.5,28.52,8.21,NA,1.632653061,NA,0.6125,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
116,GCM_G10171,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
117,GCM_G75702,4.06,NA,2.51,NA,4.666666667,NA,0.214285714,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
118,GCM_G75703,3.37,NA,2.15,0,7.874015748,0,0.127,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
119,GCM_G75704,3.17,6.37,1.72,0,7.547169811,0,0.1325,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
120,GCM_G75706,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
121,GCM_G75711,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
122,GCM_H3,2.64,NA,1.81,9.09,6.382978723,0.11,0.156666667,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
123,GCM_H4,2.39,5.84,1.45,0,7.070707071,0,0.141428571,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
124,GCM_H5,2.4,4.63,1.28,11.11,8.849557522,0.09,0.113,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
125,GCM_HQ 104 C -1,2.3,2.91,1.18,9.09,7.843137255,0.11,0.1275,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
126,GCM_Temp 2779,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
127,GCM_Tube 67,5.44,7.68,2.77,6.54,4.115226337,0.15,0.243,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
128,GCM_X,2.98,3.24,1.52,8.2,7.042253521,0.12,0.142,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
129,GCM_H11,0.99,2.36,0.64,0,9.836065574,0,0.101666667,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
130,GCM_H14,0.85,1.91,0.59,0,14.28571429,0,0.07,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
131,GCM_38-10,1.75,2.8,0.83,0,8.695652174,0,0.115,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
132,GCM_6-38,2.45,5.65,1.71,0,0,0,0,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
133,GCM_14-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
134,GCM_G91702,2.31,4.96,1.14,0,10.63829787,0,0.094,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
135,GCM_G91704,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
136,GCM_G91703,NA,NA,NA,NA,2.036659878,NA,0.491,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
137,GCM_G91706,2.77,3.94,1.13,0,9.090909091,0,0.11,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
138,GCM_G91705,2.16,4.12,1.54,0,10.52631579,0,0.095,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
139,GCM_TEMP3061,6.56,12.7,3.63,5.74,4.347826087,0.17,0.23,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
140,GCM_8-23,1.94,2.67,0.98,6.38,5.172413793,0.16,0.193333333,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
141,GCM_14-22,3.1,3.5,1.62,7.25,6.756756757,0.14,0.148,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
142,GCM_167-32,2.54,3.45,1.74,6.11,6.134969325,0.16,0.163,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
143,GCM_100-8,NA,NA,NA,NA,4.21686747,NA,0.237142857,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
144,GCM_18-20,NA,NA,NA,NA,7.462686567,NA,0.134,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
