"","GroupID","SPECID","CBL","CH","CBW","ADM","PDM","class","prob.Abelisauridae","prob.Allosauridae","prob.Carcharodontosauridae","prob.Dromaeosaur.Morphotype.1","prob.Dromaeosaur.Morphotype.2","prob.Dromaeosaur.Morphotype.3","prob.Megalosauridae","prob.Metriacanthosauridae","prob.Neotheropoda","prob.Neovenatoridae","prob.Noasauridae","prob.Non_abelisauroid_Ceratosauria","prob.Non_averostran_Neotheropoda","prob.Non_megalosauran_Megalosauroidea","prob.Non_tyrannosaurid_Tyrannosauroidea","prob.Proceratosauridae.","prob.Spinosauridae.Morphotype.1","prob.Therizinosauria","prob.Troodontidae","prob.Tyrannosauridae.Morphotype.1","prob.Tyrannosauridae.Morphotype.2","prob.Tyrannosauridae.Morphotype.3","prob.Tyrannosauridae.pmx.Morphotype.1"
"1","Kyrgystan","ZIN PH 7/42", 1.028289970, 0.9885463, 1.14512553,0.0604103,0.07568399,"Dromaeosaur.Morphotype.2",0.1905,0.0075,0.0005,0.0000,0.2725,0.0000,0.0045,0.0045,0.0000,0.0000,0.0000,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.2495,0.0150,0.2460,0.0035
"2","Kyrgystan","ZIN PH 9/42", 0.608783838, 0.8257502, 0.43774978,0.1234856,0.15306693,"Dromaeosaur.Morphotype.2",0.0950,0.0270,0.0000,0.0005,0.5820,0.0000,0.0035,0.0000,0.0000,0.0025,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.1660,0.0025,0.1160,0.0010
"3","Kyrgystan","ZIN PH 14/42",-0.004856174, 0.4701239, 0.26947396,0.1234856,0.15306693,"Dromaeosaur.Morphotype.2",0.0110,0.0030,0.0000,0.0010,0.8345,0.0065,0.0005,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,0.0000,0.0025,0.0000,0.0000,0.0000,0.0105,0.0645,0.0000,0.0630,0.0000
"4","Kyrgystan","ZIN PH 15/42",-0.070205162, 0.1208222,-0.04987713,0.1234856,0.15306693,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0015,0.9125,0.0050,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0015,0.0000,0.0740,0.0000
"5","Kyrgystan","ZIN PH 18/42",-0.810706331,-0.2105142,-0.23257941,0.3320290,0.22371202,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0270,0.9325,0.0035,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0305,0.0005,0.0000,0.0035,0.0000
"6","Kyrgystan","ZIN PH 19/42", 0.145202471, 0.3768924, 0.10888119,0.1234856,0.11529704,"Dromaeosaur.Morphotype.2",0.0190,0.0010,0.0000,0.0010,0.9025,0.0010,0.0005,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0020,0.0320,0.0000,0.0385,0.0000
"7","Kyrgystan","ZIN PH 28/42", 0.365633377, 0.3768924,-0.02405953,0.1234856,0.18915760,"Dromaeosaur.Morphotype.2",0.0440,0.0015,0.0000,0.0005,0.8010,0.0020,0.0010,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0010,0.0760,0.0000,0.0620,0.0000
